bits    prime
10      1021
11      2029
12      4079
13      8111
14      16273
15      32749
16      65413
17      131071
18      262103
19      524257
20      1048573
21      2097147
22      4194217
23      8388449
24      16777099
25      33554393
26      44923183
27      134217689
28      268435399
29      536870909
30      1073741789
31      2147483647
32      4294967291
33      8589934583
34      17179869143
35      34359738337
36      68719476503
37      137438953097
38      274877906837
39      549755813657
40      1099511627689
